price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
18990,a88f0e4d-a1d2-4496-ba25-a42666148219,b,t-roc,43881,01-2018,nl,8091 CM,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-benzine-geel-a88f0e4d-a1d2-4496-ba25-a42666148219
30995,1c6cf048-5766-4a65-875d-930e5b273e05,b,t-roc,13687,06-2022,nl,3411 JW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-life-business-automaat-led-acc-benzine-grijs-1c6cf048-5766-4a65-875d-930e5b273e05
22450,7ea878ba-53f6-4c50-a9d0-28c6997a1c77,b,t-roc,148562,11-2018,nl,5305 EE,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-sport-panoramadak-virtual-cockpit-da-benzine-blauw-7ea878ba-53f6-4c50-a9d0-28c6997a1c77
24750,e1602b5d-45b2-4ab5-8a2c-8a6d54f693ae,b,t-roc,46353,07-2022,nl,8938 AD,Handgeschakeld,82 kW (111 PK),/aanbod/volkswagen-t-roc-1-0-tsi-life-75-edition-navi-adaptive-cruise-air-benzine-wit-e1602b5d-45b2-4ab5-8a2c-8a6d54f693ae
40950,3d91e18d-8b06-429f-95e7-0c82e0e96949,b,t-roc,504,01-2023,nl,7532 SW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-dsg-r-line-black-optik-iq-lights-acc-navi-benzine-wit-3d91e18d-8b06-429f-95e7-0c82e0e96949
20950,453aadea-a202-40f3-924a-8b0ec84a3f5c,b,t-roc,126732,01-2018,nl,9461 VC,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-sport-18-led-virtual-cockpit-benzine-zwart-453aadea-a202-40f3-924a-8b0ec84a3f5c
34949,ce324686-18f5-47eb-aecb-ee3a712cf288,b,t-roc,25381,01-2023,nl,7913 TC,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-trekhaak-led-virtual-cockp-benzine-blauw-ce324686-18f5-47eb-aecb-ee3a712cf288
27500,db99883a-58ff-4158-9f18-6ae8b46ad9b0,b,t-roc,56057,11-2019,nl,2371 EW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-automaat-sport-trekhaak-carplay-benzine-blauw-db99883a-58ff-4158-9f18-6ae8b46ad9b0
19949,4a601bb3-e716-48dc-be91-5387eebd9266,b,t-roc,127756,01-2018,nl,7913 TC,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-116pk-h6-style-trekhaak-led-virtual-cockpi-benzine-blauw-4a601bb3-e716-48dc-be91-5387eebd9266
19950,cd1162cb-51f4-407e-a36a-5def92be4d0d,b,t-roc,108352,11-2018,nl,2132 PZ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-sport-benzine-grijs-cd1162cb-51f4-407e-a36a-5def92be4d0d
34949,9e5cf70f-3725-450d-92b5-457fc0576ba8,b,t-roc,27350,11-2020,nl,7913 TC,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-cabrio-1-5-tsi-150pk-dsg-2x-r-line-virtual-cockpit-benzine-wit-9e5cf70f-3725-450d-92b5-457fc0576ba8
38995,22b8ab78-dfa3-4df4-9928-201499c3fef6,b,t-roc,6638,03-2021,nl,2201 DH,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-7-dsg-r-line-apple-carplay-andro-benzine-blauw-22b8ab78-dfa3-4df4-9928-201499c3fef6
